" chongzhi1"

"Time      "	"Leg_ya_huang_2.force"
0.000000e+00	6.994405e-13
1.000000e-03	7.894803e-04
2.000000e-03	1.445000e-03
3.000000e-03	2.084085e-03
4.000000e-03	2.697388e-03
5.000000e-03	3.283280e-03
6.000000e-03	3.853054e-03
7.000000e-03	4.434189e-03
8.000000e-03	5.062107e-03
9.000000e-03	5.757838e-03
1.000000e-02	6.509385e-03
1.100000e-02	7.277782e-03
1.200000e-02	8.020698e-03
1.300000e-02	8.710187e-03
1.400000e-02	9.339540e-03
1.500000e-02	9.926393e-03
1.600000e-02	1.051298e-02
1.700000e-02	1.115074e-02
1.800000e-02	1.186539e-02
1.900000e-02	1.263412e-02
2.000000e-02	1.340269e-02
2.100000e-02	1.412166e-02
2.200000e-02	1.477068e-02
2.300000e-02	1.536659e-02
2.400000e-02	1.595973e-02
2.500000e-02	1.660906e-02
2.600000e-02	1.733831e-02
2.700000e-02	1.811333e-02
2.800000e-02	1.887021e-02
2.900000e-02	1.956342e-02
3.000000e-02	2.018724e-02
3.100000e-02	2.078043e-02
3.200000e-02	2.140654e-02
3.300000e-02	2.210882e-02
3.400000e-02	2.287229e-02
3.500000e-02	2.363745e-02
3.600000e-02	2.434665e-02
3.700000e-02	2.498346e-02
3.800000e-02	2.558306e-02
3.900000e-02	2.620855e-02
4.000000e-02	2.690745e-02
4.100000e-02	2.766669e-02
4.174199e-02	2.825193e-02
4.200000e-02	1.167335e-01
4.300000e-02	2.610024e-01
4.400000e-02	4.058194e-01
4.500000e-02	5.549973e-01
4.600000e-02	7.034641e-01
4.700000e-02	8.506930e-01
4.800000e-02	1.002660e+00
4.900000e-02	1.153028e+00
5.000000e-02	1.303657e+00
5.100000e-02	1.458235e+00
5.200000e-02	1.609679e+00
5.300000e-02	1.765168e+00
5.400000e-02	1.920172e+00
5.500000e-02	2.075129e+00
5.600000e-02	2.233605e+00
5.700000e-02	2.389237e+00
5.800000e-02	2.549599e+00
5.900000e-02	2.707491e+00
6.000000e-02	2.868321e+00
6.100000e-02	3.029621e+00
6.200000e-02	3.190561e+00
6.300000e-02	3.354822e+00
6.400000e-02	3.516719e+00
6.500000e-02	3.682905e+00
6.600000e-02	3.846791e+00
6.700000e-02	4.014210e+00
6.800000e-02	4.180596e+00
6.900000e-02	4.348911e+00
7.000000e-02	4.517920e+00
7.100000e-02	4.687266e+00
7.200000e-02	4.858683e+00
7.300000e-02	5.029371e+00
7.400000e-02	5.202794e+00
7.500000e-02	5.375258e+00
7.600000e-02	5.550629e+00
7.700000e-02	5.724803e+00
7.800000e-02	5.901963e+00
7.900000e-02	6.078418e+00
8.000000e-02	6.256807e+00
8.100000e-02	6.435859e+00
8.200000e-02	6.615518e+00
8.300000e-02	6.796847e+00
8.400000e-02	6.978133e+00
8.500000e-02	7.161599e+00
8.600000e-02	7.344834e+00
8.700000e-02	7.530088e+00
8.800000e-02	7.715484e+00
8.900000e-02	7.902492e+00
9.000000e-02	8.090156e+00
9.100000e-02	8.278935e+00
9.200000e-02	8.468785e+00
9.300000e-02	8.659459e+00
9.400000e-02	8.851474e+00
9.500000e-02	9.044185e+00
9.600000e-02	9.238293e+00
9.700000e-02	9.433097e+00
9.800000e-02	9.629301e+00
9.900000e-02	9.826272e+00
1.000000e-01	1.002409e+01
1.010000e-01	1.021992e+01
1.020000e-01	1.041408e+01
1.030000e-01	1.060628e+01
1.040000e-01	1.079688e+01
1.050000e-01	1.098570e+01
1.060000e-01	1.117299e+01
1.070000e-01	1.135875e+01
1.080000e-01	1.154305e+01
1.090000e-01	1.172592e+01
1.100000e-01	1.190746e+01
1.110000e-01	1.208766e+01
1.120000e-01	1.226664e+01
1.130000e-01	1.244443e+01
1.140000e-01	1.262126e+01
1.150000e-01	1.279741e+01
1.160000e-01	1.297316e+01
1.170000e-01	1.314879e+01
1.180000e-01	1.332510e+01
1.190000e-01	1.350383e+01
1.200000e-01	1.369189e+01
1.205387e-01	1.388742e+01
1.207908e-01	1.382150e+01
1.210000e-01	1.380794e+01
