" chongzhi1"

"Time      "	"Leg_ya_huang_1.force"
0.000000e+00	1.398781e-11
1.000000e-03	5.645828e-04
2.000000e-03	9.260379e-04
3.000000e-03	1.280644e-03
4.000000e-03	1.626602e-03
5.000000e-03	1.963616e-03
6.000000e-03	2.294795e-03
7.000000e-03	2.627778e-03
8.000000e-03	2.973474e-03
9.000000e-03	3.341074e-03
1.000000e-02	3.731795e-03
1.100000e-02	4.137073e-03
1.200000e-02	4.543315e-03
1.300000e-02	4.938243e-03
1.400000e-02	5.314495e-03
1.500000e-02	5.670494e-03
1.600000e-02	6.010778e-03
1.700000e-02	6.346624e-03
1.800000e-02	6.693980e-03
1.900000e-02	7.065688e-03
2.000000e-02	7.463024e-03
2.100000e-02	7.873717e-03
2.200000e-02	8.279696e-03
2.300000e-02	8.666892e-03
2.400000e-02	9.030005e-03
2.500000e-02	9.373608e-03
2.600000e-02	9.711458e-03
2.700000e-02	1.006255e-02
2.800000e-02	1.044033e-02
2.900000e-02	1.084269e-02
3.000000e-02	1.125369e-02
3.100000e-02	1.165373e-02
3.200000e-02	1.203032e-02
3.300000e-02	1.238288e-02
3.400000e-02	1.272289e-02
3.500000e-02	1.306957e-02
3.600000e-02	1.344010e-02
3.700000e-02	1.383737e-02
3.800000e-02	1.424693e-02
3.900000e-02	1.464846e-02
4.000000e-02	1.502683e-02
4.100000e-02	1.538090e-02
4.174370e-02	1.600478e-02
4.199647e-02	8.680540e-02
4.200000e-02	8.706860e-02
4.300000e-02	1.609823e-01
4.400000e-02	2.353458e-01
4.500000e-02	3.116478e-01
4.600000e-02	3.877416e-01
4.700000e-02	4.629627e-01
4.800000e-02	5.400070e-01
4.900000e-02	6.179398e-01
5.000000e-02	6.944652e-01
5.100000e-02	7.726776e-01
5.200000e-02	8.518965e-01
5.300000e-02	9.296555e-01
5.400000e-02	1.009452e+00
5.500000e-02	1.089642e+00
5.600000e-02	1.168696e+00
5.700000e-02	1.250310e+00
5.800000e-02	1.331013e+00
5.900000e-02	1.411965e+00
6.000000e-02	1.494947e+00
6.100000e-02	1.576288e+00
6.200000e-02	1.659549e+00
6.300000e-02	1.743088e+00
6.400000e-02	1.825933e+00
6.500000e-02	1.911110e+00
6.600000e-02	1.994979e+00
6.700000e-02	2.080206e+00
6.800000e-02	2.166170e+00
6.900000e-02	2.251315e+00
7.000000e-02	2.338695e+00
7.100000e-02	2.424862e+00
7.200000e-02	2.512570e+00
7.300000e-02	2.600542e+00
7.400000e-02	2.688399e+00
7.500000e-02	2.777840e+00
7.600000e-02	2.866509e+00
7.700000e-02	2.956632e+00
7.800000e-02	3.046781e+00
7.900000e-02	3.137297e+00
8.000000e-02	3.228865e+00
8.100000e-02	3.320092e+00
8.200000e-02	3.412632e+00
8.300000e-02	3.505067e+00
8.400000e-02	3.598233e+00
8.500000e-02	3.692020e+00
8.600000e-02	3.785885e+00
8.700000e-02	3.880805e+00
8.800000e-02	3.975747e+00
8.900000e-02	4.071426e+00
9.000000e-02	4.167619e+00
9.100000e-02	4.264086e+00
9.200000e-02	4.361424e+00
9.300000e-02	4.458890e+00
9.400000e-02	4.557131e+00
9.500000e-02	4.655739e+00
9.600000e-02	4.754850e+00
9.700000e-02	4.854619e+00
9.800000e-02	4.954674e+00
9.900000e-02	5.055477e+00
1.000000e-01	5.156135e+00
1.010000e-01	5.255671e+00
1.020000e-01	5.354086e+00
1.030000e-01	5.451527e+00
1.040000e-01	5.548040e+00
1.050000e-01	5.643490e+00
1.060000e-01	5.738111e+00
1.070000e-01	5.831657e+00
1.080000e-01	5.924374e+00
