" chongzhi1"

"Time      "	"Leg_ya_huang_1.force"
0.000000e+00	2.331291e-11
1.000000e-03	7.648945e-04
2.000000e-03	1.362044e-03
3.000000e-03	1.944570e-03
4.000000e-03	2.506092e-03
5.000000e-03	3.045974e-03
6.000000e-03	3.573793e-03
7.000000e-03	4.111777e-03
8.000000e-03	4.688082e-03
9.000000e-03	5.319163e-03
1.000000e-02	5.995296e-03
1.100000e-02	6.685496e-03
1.200000e-02	7.356155e-03
1.300000e-02	7.984875e-03
1.400000e-02	8.565556e-03
1.500000e-02	9.110713e-03
1.600000e-02	9.652251e-03
1.700000e-02	1.023129e-02
1.800000e-02	1.087180e-02
1.900000e-02	1.155996e-02
2.000000e-02	1.225413e-02
2.100000e-02	1.291300e-02
2.200000e-02	1.351635e-02
2.300000e-02	1.407246e-02
2.400000e-02	1.461706e-02
2.500000e-02	1.519820e-02
2.600000e-02	1.584350e-02
2.700000e-02	1.653550e-02
2.800000e-02	1.722513e-02
2.900000e-02	1.787046e-02
3.000000e-02	1.845748e-02
3.100000e-02	1.900769e-02
3.200000e-02	1.956873e-02
3.300000e-02	2.018448e-02
3.400000e-02	2.085901e-02
3.500000e-02	2.155308e-02
3.600000e-02	2.221549e-02
3.700000e-02	2.281980e-02
3.800000e-02	2.337913e-02
3.900000e-02	2.393797e-02
4.000000e-02	2.454584e-02
4.100000e-02	2.521296e-02
4.174370e-02	2.614223e-02
4.199500e-02	1.085787e-01
4.200000e-02	1.092011e-01
4.300000e-02	2.320177e-01
4.400000e-02	3.552465e-01
4.500000e-02	4.819842e-01
4.600000e-02	6.082657e-01
4.700000e-02	7.334207e-01
4.800000e-02	8.623693e-01
4.900000e-02	9.905988e-01
5.000000e-02	1.118241e+00
5.100000e-02	1.249767e+00
5.200000e-02	1.378904e+00
5.300000e-02	1.510254e+00
5.400000e-02	1.642970e+00
5.500000e-02	1.774008e+00
5.600000e-02	1.909002e+00
5.700000e-02	2.041740e+00
5.800000e-02	2.177016e+00
5.900000e-02	2.312892e+00
6.000000e-02	2.448036e+00
6.100000e-02	2.586417e+00
6.200000e-02	2.722715e+00
6.300000e-02	2.862201e+00
6.400000e-02	3.000915e+00
6.500000e-02	3.140758e+00
6.600000e-02	3.282043e+00
6.700000e-02	3.422475e+00
6.800000e-02	3.565889e+00
6.900000e-02	3.707637e+00
7.000000e-02	3.852420e+00
7.100000e-02	3.996151e+00
7.200000e-02	4.141749e+00
7.300000e-02	4.287863e+00
7.400000e-02	4.434348e+00
7.500000e-02	4.582499e+00
7.600000e-02	4.730246e+00
7.700000e-02	4.880090e+00
7.800000e-02	5.029511e+00
7.900000e-02	5.180661e+00
8.000000e-02	5.332094e+00
8.100000e-02	5.484322e+00
8.200000e-02	5.637817e+00
8.300000e-02	5.791408e+00
8.400000e-02	5.946680e+00
8.500000e-02	6.101837e+00
8.600000e-02	6.258616e+00
8.700000e-02	6.415632e+00
8.800000e-02	6.573836e+00
8.900000e-02	6.732717e+00
9.000000e-02	6.892338e+00
9.100000e-02	7.053030e+00
9.200000e-02	7.214234e+00
9.300000e-02	7.376642e+00
9.400000e-02	7.539505e+00
9.500000e-02	7.703502e+00
9.600000e-02	7.868118e+00
9.700000e-02	8.033707e+00
9.800000e-02	8.200104e+00
9.900000e-02	8.367299e+00
1.000000e-01	8.534880e+00
1.010000e-01	8.700670e+00
1.020000e-01	8.864912e+00
1.030000e-01	9.027349e+00
1.040000e-01	9.188276e+00
1.050000e-01	9.347447e+00
1.060000e-01	9.505128e+00
1.070000e-01	9.661124e+00
1.080000e-01	9.815610e+00
1.090000e-01	9.968495e+00
1.100000e-01	1.011985e+01
1.110000e-01	1.026970e+01
1.120000e-01	1.041805e+01
1.130000e-01	1.056495e+01
1.140000e-01	1.071030e+01
1.150000e-01	1.085402e+01
1.160000e-01	1.099600e+01
1.170000e-01	1.113632e+01
1.180000e-01	1.127474e+01
1.190000e-01	1.141135e+01
1.200000e-01	1.154762e+01
1.204044e-01	1.162914e+01
1.206555e-01	1.145228e+01
1.209060e-01	1.149525e+01
1.210000e-01	1.149219e+01
1.212555e-01	1.148335e+01
1.215084e-01	1.147533e+01
1.217655e-01	1.146902e+01
1.220000e-01	1.146385e+01
1.222961e-01	1.145740e+01
1.226169e-01	1.145034e+01
1.230000e-01	1.144379e+01
1.240000e-01	1.143338e+01
1.249304e-01	1.142265e+01
1.250000e-01	1.142155e+01
1.252904e-01	1.141693e+01
1.260000e-01	1.140566e+01
1.263017e-01	1.140104e+01
1.270000e-01	1.139109e+01
1.277883e-01	1.137941e+01
1.280000e-01	1.137642e+01
1.290000e-01	1.136222e+01
1.300000e-01	1.134821e+01
1.310000e-01	1.133383e+01
1.313792e-01	1.132868e+01
1.316300e-01	1.132521e+01
1.320000e-01	1.131986e+01
1.330000e-01	1.130609e+01
1.340000e-01	1.129205e+01
