" chongzhi1"

"Time      "	"Leg_ya_huang_1.force"
0.000000e+00	4.196310e-11
1.000000e-03	1.164771e-03
2.000000e-03	2.226709e-03
3.000000e-03	3.246393e-03
4.000000e-03	4.204814e-03
5.000000e-03	5.105295e-03
6.000000e-03	5.989279e-03
7.000000e-03	6.936370e-03
8.000000e-03	8.019955e-03
9.000000e-03	9.241310e-03
1.000000e-02	1.051943e-02
1.100000e-02	1.174999e-02
1.200000e-02	1.286304e-02
1.300000e-02	1.384590e-02
1.400000e-02	1.475405e-02
1.500000e-02	1.570249e-02
1.600000e-02	1.679970e-02
1.700000e-02	1.804938e-02
1.800000e-02	1.933984e-02
1.900000e-02	2.054182e-02
2.000000e-02	2.159158e-02
2.100000e-02	2.252473e-02
2.200000e-02	2.346599e-02
2.300000e-02	2.454993e-02
2.400000e-02	2.579645e-02
2.500000e-02	2.708662e-02
2.600000e-02	2.827482e-02
2.700000e-02	2.930064e-02
2.800000e-02	3.023296e-02
2.900000e-02	3.122005e-02
3.000000e-02	3.237159e-02
3.100000e-02	3.364854e-02
3.200000e-02	3.490190e-02
3.300000e-02	3.601132e-02
3.400000e-02	3.698104e-02
3.500000e-02	3.793651e-02
3.600000e-02	3.902424e-02
3.700000e-02	4.026676e-02
3.800000e-02	4.153534e-02
3.900000e-02	4.268790e-02
4.000000e-02	4.369024e-02
4.100000e-02	4.464679e-02
4.174198e-02	4.544115e-02
4.199280e-02	1.512853e-01
4.200000e-02	1.528761e-01
4.300000e-02	3.729453e-01
4.400000e-02	5.941511e-01
4.500000e-02	8.219437e-01
4.600000e-02	1.047280e+00
4.700000e-02	1.273784e+00
4.800000e-02	1.505486e+00
4.900000e-02	1.732972e+00
5.000000e-02	1.967053e+00
5.100000e-02	2.198757e+00
5.200000e-02	2.433324e+00
5.300000e-02	2.669585e+00
5.400000e-02	2.905040e+00
5.500000e-02	3.145172e+00
5.600000e-02	3.382405e+00
5.700000e-02	3.625584e+00
5.800000e-02	3.865199e+00
5.900000e-02	4.110961e+00
6.000000e-02	4.353501e+00
6.100000e-02	4.601437e+00
6.200000e-02	4.847089e+00
6.300000e-02	5.097149e+00
6.400000e-02	5.345904e+00
6.500000e-02	5.598336e+00
6.600000e-02	5.849967e+00
6.700000e-02	6.104787e+00
6.800000e-02	6.359366e+00
6.900000e-02	6.616798e+00
7.000000e-02	6.874184e+00
7.100000e-02	7.133985e+00
7.200000e-02	7.394704e+00
7.300000e-02	7.656832e+00
7.400000e-02	7.920496e+00
7.500000e-02	8.185266e+00
7.600000e-02	8.451707e+00
7.700000e-02	8.719282e+00
7.800000e-02	8.988634e+00
7.900000e-02	9.258825e+00
8.000000e-02	9.531184e+00
8.100000e-02	9.804027e+00
8.200000e-02	1.007936e+01
8.300000e-02	1.035509e+01
8.400000e-02	1.063325e+01
8.500000e-02	1.091188e+01
8.600000e-02	1.119268e+01
8.700000e-02	1.147461e+01
8.800000e-02	1.175790e+01
8.900000e-02	1.204321e+01
9.000000e-02	1.232887e+01
9.100000e-02	1.261748e+01
9.200000e-02	1.290591e+01
9.300000e-02	1.319748e+01
9.400000e-02	1.348896e+01
9.500000e-02	1.378322e+01
9.600000e-02	1.407780e+01
9.700000e-02	1.437484e+01
9.800000e-02	1.467257e+01
9.900000e-02	1.497241e+01
1.000000e-01	1.527250e+01
1.010000e-01	1.557062e+01
1.020000e-01	1.586528e+01
1.030000e-01	1.615722e+01
1.040000e-01	1.644597e+01
1.050000e-01	1.673184e+01
1.060000e-01	1.701472e+01
1.070000e-01	1.729473e+01
1.080000e-01	1.757182e+01
1.090000e-01	1.784612e+01
1.100000e-01	1.811746e+01
1.110000e-01	1.838616e+01
1.120000e-01	1.865205e+01
