" chongzhi1"

"Time      "	".JOINT_qianhou.Element_Force.Y"
0.000000e+00	3.854088e+01
5.000000e-04	3.319253e+01
1.000000e-03	3.696321e+01
1.500000e-03	3.835078e+01
2.000000e-03	3.908271e+01
2.500000e-03	3.953892e+01
3.000000e-03	3.985297e+01
3.500000e-03	4.008297e+01
4.000000e-03	4.025980e+01
4.500000e-03	4.040000e+01
5.000000e-03	4.051455e+01
5.500000e-03	4.060978e+01
6.000000e-03	4.069035e+01
6.500000e-03	4.075939e+01
7.000000e-03	4.081889e+01
7.500000e-03	4.087111e+01
8.000000e-03	4.091692e+01
8.500000e-03	4.095753e+01
9.000000e-03	4.099352e+01
9.500000e-03	4.102559e+01
1.000000e-02	4.105422e+01
1.050000e-02	4.107979e+01
1.100000e-02	4.110262e+01
1.150000e-02	4.112283e+01
1.200000e-02	4.114093e+01
1.250000e-02	4.115750e+01
1.300000e-02	4.117282e+01
1.350000e-02	4.118699e+01
1.400000e-02	4.120017e+01
1.450000e-02	4.121250e+01
1.500000e-02	4.122396e+01
1.550000e-02	4.123467e+01
1.600000e-02	4.124461e+01
1.650000e-02	4.125394e+01
1.700000e-02	4.126296e+01
1.750000e-02	4.127133e+01
1.800000e-02	4.127935e+01
1.850000e-02	4.128709e+01
1.900000e-02	4.129451e+01
1.950000e-02	4.130173e+01
2.000000e-02	4.130867e+01
2.050000e-02	4.131548e+01
2.100000e-02	4.132204e+01
2.150000e-02	4.132855e+01
2.200000e-02	4.133482e+01
2.250000e-02	4.134100e+01
2.300000e-02	4.134703e+01
2.350000e-02	4.135297e+01
2.400000e-02	4.135885e+01
2.450000e-02	4.136462e+01
2.500000e-02	4.137016e+01
2.550000e-02	4.137553e+01
2.600000e-02	4.138085e+01
2.650000e-02	4.138601e+01
2.700000e-02	4.139104e+01
2.750000e-02	4.139592e+01
2.800000e-02	4.140068e+01
2.850000e-02	4.140532e+01
2.900000e-02	4.140986e+01
2.950000e-02	4.141430e+01
3.000000e-02	4.141866e+01
3.050000e-02	4.142294e+01
3.100000e-02	4.142713e+01
3.150000e-02	4.143125e+01
3.200000e-02	4.143530e+01
3.250000e-02	4.143927e+01
3.300000e-02	4.144318e+01
3.350000e-02	4.144689e+01
3.400000e-02	4.145065e+01
3.450000e-02	4.145433e+01
3.500000e-02	4.145793e+01
3.550000e-02	4.146144e+01
3.600000e-02	4.146477e+01
3.650000e-02	4.146818e+01
3.700000e-02	4.147153e+01
3.750000e-02	4.147483e+01
3.800000e-02	4.147808e+01
3.850000e-02	4.148127e+01
3.900000e-02	4.148440e+01
3.950000e-02	4.148748e+01
4.000000e-02	4.149050e+01
4.050000e-02	4.149345e+01
4.100000e-02	4.149632e+01
