" chongzhi1"

"Time      "	"Leg_ya_huang_1.force"
0.000000e+00	3.263856e-11
1.000000e-03	9.649571e-04
2.000000e-03	1.795599e-03
3.000000e-03	2.599794e-03
4.000000e-03	3.365335e-03
5.000000e-03	4.092515e-03
6.000000e-03	4.803245e-03
7.000000e-03	5.543787e-03
8.000000e-03	6.364577e-03
9.000000e-03	7.281356e-03
1.000000e-02	8.256933e-03
1.100000e-02	9.226430e-03
1.200000e-02	1.013535e-02
1.300000e-02	1.095888e-02
1.400000e-02	1.170910e-02
1.500000e-02	1.243835e-02
1.600000e-02	1.322388e-02
1.700000e-02	1.411686e-02
1.800000e-02	1.509447e-02
1.900000e-02	1.607851e-02
2.000000e-02	1.699344e-02
2.100000e-02	1.780867e-02
2.200000e-02	1.855254e-02
2.300000e-02	1.930448e-02
2.400000e-02	2.014832e-02
2.500000e-02	2.110062e-02
2.600000e-02	2.209307e-02
2.700000e-02	2.303110e-02
2.800000e-02	2.386591e-02
2.900000e-02	2.462092e-02
3.000000e-02	2.537918e-02
3.100000e-02	2.622788e-02
3.200000e-02	2.718170e-02
3.300000e-02	2.816751e-02
3.400000e-02	2.909097e-02
3.500000e-02	2.991061e-02
3.600000e-02	3.066522e-02
3.700000e-02	3.144739e-02
3.800000e-02	3.233262e-02
3.900000e-02	3.330490e-02
4.000000e-02	3.426980e-02
4.100000e-02	3.514949e-02
4.174198e-02	3.575307e-02
4.199208e-02	1.297866e-01
4.200000e-02	1.311483e-01
4.300000e-02	3.024172e-01
4.400000e-02	4.747779e-01
4.500000e-02	6.521730e-01
4.600000e-02	8.279263e-01
4.700000e-02	1.003629e+00
4.800000e-02	1.184360e+00
4.900000e-02	1.361885e+00
5.000000e-02	1.542773e+00
5.100000e-02	1.725053e+00
5.200000e-02	1.905511e+00
5.300000e-02	2.091236e+00
5.400000e-02	2.273385e+00
5.500000e-02	2.460616e+00
5.600000e-02	2.645931e+00
5.700000e-02	2.833670e+00
5.800000e-02	3.022485e+00
5.900000e-02	3.210981e+00
6.000000e-02	3.402907e+00
6.100000e-02	3.592741e+00
6.200000e-02	3.787130e+00
6.300000e-02	3.978767e+00
6.400000e-02	4.175161e+00
6.500000e-02	4.369325e+00
6.600000e-02	4.567193e+00
6.700000e-02	4.764098e+00
6.800000e-02	4.963399e+00
6.900000e-02	5.163096e+00
7.000000e-02	5.363940e+00
7.100000e-02	5.566229e+00
7.200000e-02	5.768872e+00
7.300000e-02	5.973532e+00
7.400000e-02	6.178369e+00
7.500000e-02	6.385043e+00
7.600000e-02	6.592057e+00
7.700000e-02	6.800974e+00
7.800000e-02	7.010149e+00
7.900000e-02	7.221218e+00
8.000000e-02	7.432830e+00
8.100000e-02	7.645871e+00
8.200000e-02	7.859865e+00
8.300000e-02	8.075099e+00
8.400000e-02	8.291419e+00
8.500000e-02	8.508761e+00
8.600000e-02	8.727426e+00
8.700000e-02	8.947021e+00
8.800000e-02	9.168002e+00
8.900000e-02	9.389856e+00
9.000000e-02	9.613065e+00
9.100000e-02	9.837259e+00
9.200000e-02	1.006275e+01
9.300000e-02	1.028929e+01
9.400000e-02	1.051703e+01
9.500000e-02	1.074588e+01
9.600000e-02	1.097592e+01
9.700000e-02	1.120710e+01
9.800000e-02	1.143950e+01
9.900000e-02	1.167298e+01
1.000000e-01	1.190709e+01
1.010000e-01	1.213914e+01
1.020000e-01	1.236882e+01
1.030000e-01	1.259616e+01
1.040000e-01	1.282117e+01
1.050000e-01	1.304388e+01
1.060000e-01	1.326435e+01
1.070000e-01	1.348254e+01
1.080000e-01	1.369853e+01
1.090000e-01	1.391230e+01
1.100000e-01	1.412387e+01
1.110000e-01	1.433331e+01
1.120000e-01	1.454066e+01
1.130000e-01	1.474593e+01
1.140000e-01	1.494909e+01
1.150000e-01	1.514993e+01
1.160000e-01	1.534841e+01
1.170000e-01	1.554442e+01
1.180000e-01	1.573785e+01
1.190000e-01	1.592859e+01
1.200000e-01	1.611762e+01
